time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-25T01:03:45.515Z,-58.596,-26.0402,77.273,4.9,mb,31,80,7.223,0.34,us,us6000iw8u,2022-10-25T01:28:44.040Z,"South Sandwich Islands region",earthquake,10.02,8.378,0.102,30,reviewed,us,us
2022-10-25T00:13:02.322Z,-58.7186,-26.1532,81.787,6.3,mww,73,23,7.24,0.85,us,us6000iw74,2022-10-25T01:09:48.574Z,"South Sandwich Islands region",earthquake,7.9,5.594,0.062,25,reviewed,us,us
2022-10-24T16:54:57.946Z,18.7509,146.4166,81.471,5.3,mb,95,77,5.343,0.52,us,us6000iw49,2022-10-24T23:05:01.586Z,"Pagan region, Northern Mariana Islands",earthquake,9.9,6.685,0.027,463,reviewed,us,us
2022-10-24T16:06:51.319Z,29.6134,130.6026,37.681,4.7,mb,53,145,1.894,0.35,us,us6000iw47,2022-10-24T16:57:52.040Z,"69 km S of Koshima, Japan",earthquake,8.77,7.553,0.087,43,reviewed,us,us
2022-10-24T16:06:26.004Z,-7.5149,128.5852,147.755,4.7,mb,60,58,2.729,0.51,us,us6000iw40,2022-10-24T16:40:56.040Z,"207 km ENE of Lospalos, Timor Leste",earthquake,7.61,5.265,0.081,52,reviewed,us,us
2022-10-24T15:09:18.078Z,-10.4505,161.4048,129.219,5.1,mb,40,104,1.753,0.39,us,us6000iw3m,2022-10-24T15:43:07.040Z,"Solomon Islands",earthquake,10.46,6.921,0.051,127,reviewed,us,us
2022-10-24T15:08:33.359Z,11.0874,125.8477,35,5.4,mww,65,115,4.001,0.56,us,us6000iw3l,2022-10-24T17:11:48.668Z,"14 km ENE of Guiuan, Philippines",earthquake,10.88,1.895,0.075,17,reviewed,us,us
2022-10-24T13:50:32.273Z,47.649,145.622,448.188,4.1,mb,40,80,2.066,0.43,us,us6000iw3d,2022-10-24T14:39:59.040Z,"216 km E of Dolinsk, Russia",earthquake,15.37,10.565,0.102,26,reviewed,us,us
2022-10-24T08:48:23.238Z,41.9037,145.0199,10,4.9,mb,70,157,1.394,0.56,us,us6000iw1k,2022-10-24T09:21:22.040Z,"",earthquake,4.88,1.868,0.079,50,reviewed,us,us
2022-10-24T07:50:58.054Z,-15.1837,-173.201,10,5.6,mww,91,29,2.716,1.01,us,us6000iw1e,2022-10-24T21:53:59.630Z,"106 km NE of Hihifo, Tonga",earthquake,6.75,1.835,0.098,10,reviewed,us,us
2022-10-24T07:45:30.603Z,-18.0834,-178.4179,552.696,4.3,mb,28,93,3.377,0.61,us,us6000iw1d,2022-10-24T10:12:52.040Z,"239 km E of Levuka, Fiji",earthquake,10.06,13.097,0.122,19,reviewed,us,us
2022-10-24T07:43:51.515Z,41.8823,144.9727,10,4.9,mb,41,177,1.361,0.81,us,us6000iw1c,2022-10-24T08:08:54.040Z,"130 km SSE of Kushiro, Japan",earthquake,8.73,1.931,0.092,37,reviewed,us,us
2022-10-24T06:59:20.085Z,41.5204,142.137,71.132,4.4,mb,50,117,0.909,0.56,us,us6000iw18,2022-10-24T12:48:26.040Z,"81 km ENE of Mutsu, Japan",earthquake,5.89,3.051,0.098,30,reviewed,us,us
2022-10-24T06:48:58.204Z,-30.7003,-71.4452,44.562,4,mwr,48,93,0.166,0.52,us,us6000iw16,2022-10-24T09:03:36.040Z,"",earthquake,4.45,6.373,0.093,11,reviewed,us,us
2022-10-24T05:40:42.034Z,7.5835,-81.5523,10,4.6,mb,112,131,1.934,0.5,us,us6000iw0s,2022-10-24T20:18:52.515Z,"Panama",earthquake,7.12,1.897,0.052,110,reviewed,us,us
2022-10-24T05:04:42.322Z,-7.4829,-76.2725,126.33,5,mb,85,108,3.545,0.8,us,us6000iw0p,2022-10-24T05:37:57.030Z,"56 km SE of Pajarillo, Peru",earthquake,6.3,6.028,0.026,487,reviewed,us,us
2022-10-24T04:50:39.558Z,-15.2445,-173.0212,10,4.7,mb,30,117,2.576,0.76,us,us6000iw0n,2022-10-24T08:02:47.923Z,"114 km NE of Hihifo, Tonga",earthquake,9.84,1.898,0.071,60,reviewed,us,us
2022-10-24T03:45:56.080Z,18.0831,-68.171,71,3.71,md,16,241,0.4794,0.38,pr,pr2022297000,2022-10-24T04:42:47.542Z,"56 km SE of Boca de Yuma, Dominican Republic",earthquake,2.87,2.49,0.09,8,reviewed,pr,pr
2022-10-24T03:38:24.029Z,40.9724,51.9804,56.989,4.2,mb,58,89,4.94,0.92,us,us6000iw0e,2022-10-24T04:51:36.040Z,"134 km NW of Türkmenba?y, Turkmenistan",earthquake,8.63,8.974,0.089,35,reviewed,us,us
2022-10-24T02:06:42.288Z,7.0465,125.4369,252.056,5.3,mww,110,46,0.143,1.04,us,us6000ivzy,2022-10-24T03:42:17.809Z,"4 km W of Bato, Philippines",earthquake,9.22,4.516,0.078,16,reviewed,us,us
2022-10-24T01:18:33.239Z,4.8251,124.1532,11.835,4.7,mb,29,101,2.643,0.88,us,us6000ivzw,2022-10-24T01:45:53.040Z,"138 km SSW of Tambilil, Philippines",earthquake,9.42,4.787,0.123,20,reviewed,us,us
2022-10-24T00:12:43.963Z,10.9726,125.5752,60.736,4.7,mb,34,115,15.315,0.41,us,us6000ivzs,2022-10-24T02:44:04.040Z,"17 km WSW of Guiuan, Philippines",earthquake,12.42,7.507,0.099,31,reviewed,us,us
2022-10-23T23:07:17.824Z,60.9357,165.5508,10,4.3,mb,31,169,7.17,0.59,us,us6000ivzl,2022-10-24T02:34:37.040Z,"62 km NNW of Tilichiki, Russia",earthquake,9.03,1.953,0.091,34,reviewed,us,us
2022-10-23T22:58:11.272Z,37.5064,77.9261,18.292,4.3,mb,21,90,3.966,0.5,us,us6000ivze,2022-10-24T02:25:43.040Z,"78 km WNW of Zangguy, China",earthquake,8.7,6.286,0.307,3,reviewed,us,us
2022-10-23T22:35:40.997Z,31.1579,141.9915,10,4.5,mb,34,104,5.891,0.84,us,us6000ivzf,2022-10-24T02:14:46.040Z,"Izu Islands, Japan region",earthquake,13.71,1.914,0.139,15,reviewed,us,us
2022-10-23T21:22:02.387Z,-27.9909,-66.1525,149.546,4.4,mb,17,101,3.638,0.48,us,us6000ivz4,2022-10-24T01:31:57.040Z,"",earthquake,7.84,13.214,0.268,4,reviewed,us,us
2022-10-23T20:09:07.500Z,31.3761,141.7952,14.521,4.9,mww,134,41,2.414,0.96,us,us6000ivym,2022-10-23T20:27:22.040Z,"Izu Islands, Japan region",earthquake,8.66,4.224,0.075,17,reviewed,us,us
2022-10-23T19:46:38.210Z,7.4667,-82.5609,10,4,mb,24,158,1.202,0.84,us,us6000ivyj,2022-10-24T04:51:03.652Z,"71 km SSE of Burica, Panama",earthquake,5.55,1.78,0.367,2,reviewed,us,us
2022-10-23T19:35:38.093Z,-2.913,139.0194,39.433,4.3,mb,31,104,6.762,0.7,us,us6000ivyi,2022-10-23T19:59:15.040Z,"",earthquake,7.54,8.54,0.119,20,reviewed,us,us
2022-10-23T18:16:23.050Z,40.5781667,-124.14,28.35,4.1,mw,41,49,0.008112,0.13,nc,nc73798306,2022-10-24T23:02:18.048Z,"3km SSE of Fortuna, CA",earthquake,0.26,0.58,,3,reviewed,nc,nc
2022-10-23T16:20:44.358Z,-4.2125,151.7566,226.787,4.5,mb,61,71,9.647,0.36,us,us6000ivy0,2022-10-23T16:55:56.040Z,"45 km W of Rabaul, Papua New Guinea",earthquake,11.82,2.824,0.069,64,reviewed,us,us
2022-10-23T15:06:57.476Z,37.6288,77.8252,10,5,mww,102,78,3.821,0.44,us,us6000ivxq,2022-10-23T15:34:00.040Z,"",earthquake,7.4,1.835,0.098,10,reviewed,us,us
2022-10-23T14:53:19.295Z,37.5589,77.8741,10,4.7,mb,76,77,3.9,0.43,us,us6000ivxl,2022-10-23T15:42:06.040Z,"84 km WNW of Zangguy, China",earthquake,7.7,1.853,0.074,59,reviewed,us,us
2022-10-23T13:23:50.428Z,55.2813,-156.9657,24.3,3.7,ml,,,,1.66,ak,ak022dlqyea8,2022-10-23T21:21:37.040Z,"144 km SE of Chignik, Alaska",earthquake,,7.5,,,reviewed,ak,ak
2022-10-23T13:01:11.015Z,41.057,141.8013,65.667,4.5,mb,52,133,0.619,0.39,us,us6000ivxe,2022-10-23T20:03:25.275Z,"53 km NE of Misawa, Japan",earthquake,7.3,6.637,0.09,38,reviewed,us,us
2022-10-23T11:18:31.087Z,28.0085,139.1087,517.965,4.1,mb,55,104,5.126,0.45,us,us6000ivx1,2022-10-23T11:38:27.040Z,"Bonin Islands, Japan region",earthquake,9.94,8.948,0.06,76,reviewed,us,us
2022-10-23T11:00:10.730Z,28.1667,139.0548,520.246,4.9,mb,121,96,4.976,0.65,us,us6000ivwx,2022-10-23T11:17:13.040Z,"Bonin Islands, Japan region",earthquake,10.35,7.435,0.025,519,reviewed,us,us
2022-10-23T05:05:39.610Z,18.7546,-68.7326,119,4.66,md,34,179,0.4258,0.65,pr,pr2022296000,2022-10-23T15:20:56.839Z,"13 km NNW of Otra Banda, Dominican Republic",earthquake,5.85,2.26,0.08,29,reviewed,pr,pr
2022-10-23T04:05:29.284Z,-3.3474,127.3809,78.79,4.4,mb,23,78,4.092,0.99,us,us6000ivv6,2022-10-23T04:26:27.040Z,"97 km WNW of Ambon, Indonesia",earthquake,8.35,7.383,0.162,11,reviewed,us,us
2022-10-23T02:15:40.191Z,2.7607,128.5728,228.076,5.1,mb,92,81,2.314,0.65,us,us6000ivus,2022-10-23T02:32:07.040Z,"130 km NNE of Tobelo, Indonesia",earthquake,8.06,7.014,0.057,100,reviewed,us,us
2022-10-23T02:08:29.295Z,-21.9627,-68.7486,105.547,5.1,mww,98,42,0.487,1.11,us,us6000ivuq,2022-10-23T02:54:39.625Z,"57 km NNE of Calama, Chile",earthquake,4.72,3.532,0.057,30,reviewed,us,us
2022-10-23T01:55:24.673Z,30.3293,50.8972,10,4.5,mb,78,69,6.466,0.54,us,us6000ivup,2022-10-23T02:09:54.040Z,"10 km ESE of Dogonbadan, Iran",earthquake,3.32,1.884,0.07,59,reviewed,us,us
2022-10-23T01:09:00.795Z,7.5009,-82.503,10,4.3,mb,31,157,1.213,0.83,us,us6000ivuk,2022-10-23T01:21:59.040Z,"71 km SE of Burica, Panama",earthquake,5.14,1.952,0.169,10,reviewed,us,us
2022-10-23T00:39:08.866Z,1.7832,-78.9553,51.501,4.3,mb,30,128,1.577,0.92,us,us6000ivuj,2022-10-23T01:02:58.040Z,"18 km W of Tumaco, Colombia",earthquake,6.36,11.191,0.138,15,reviewed,us,us
2022-10-23T00:24:27.000Z,54.7325,161.4215,54.091,4.4,mb,23,125,2.372,0.82,us,us6000ivug,2022-10-23T00:47:49.040Z,"149 km SE of Atlasovo, Russia",earthquake,11.37,10.301,0.134,16,reviewed,us,us
2022-10-22T23:53:03.554Z,-5.7964,147.0126,79.634,5.1,mww,76,79,3.588,0.83,us,us6000ivub,2022-10-23T10:16:34.414Z,"102 km N of Lae, Papua New Guinea",earthquake,5.78,6.77,0.098,10,reviewed,us,us
2022-10-22T23:07:40.327Z,-6.7544,130.2439,93.758,4.1,mb,12,101,1.607,0.5,us,us6000ivu4,2022-10-22T23:29:30.040Z,"Banda Sea",earthquake,8.49,9.167,0.214,8,reviewed,us,us
2022-10-22T21:41:13.173Z,-17.1623,-172.5981,10,5,mb,51,88,1.992,0.93,us,us6000ivtv,2022-10-22T21:59:47.040Z,"184 km SE of Hihifo, Tonga",earthquake,9.01,1.872,0.083,47,reviewed,us,us
2022-10-22T20:38:27.892Z,-56.2192,-27.0768,78.108,4.5,mb,26,103,18.561,0.85,us,us6000ivtk,2022-10-22T20:55:41.040Z,"South Sandwich Islands region",earthquake,14.81,9.289,0.109,25,reviewed,us,us
2022-10-22T19:32:08.164Z,-6.1386,148.118,86.329,5,mb,91,38,3.381,1.04,us,us6000ivt3,2022-10-22T19:56:28.040Z,"55 km NNE of Finschhafen, Papua New Guinea",earthquake,9.93,5.934,0.051,125,reviewed,us,us
2022-10-22T18:16:50.091Z,-28.4036,74.3417,10,4.9,mb,58,61,26.473,0.66,us,us6000ivsu,2022-10-22T18:34:25.040Z,"Mid-Indian Ridge",earthquake,11.33,1.703,0.067,71,reviewed,us,us
2022-10-22T15:30:01.482Z,-4.1732,150.9585,10,4.8,mb,45,89,6.421,0.67,us,us6000ivs4,2022-10-22T16:01:45.040Z,"133 km W of Rabaul, Papua New Guinea",earthquake,11.58,1.879,0.08,48,reviewed,us,us
2022-10-22T15:17:03.371Z,-1.0804,133.8453,37.817,4.5,mb,31,92,2.425,0.95,us,us6000ivs1,2022-10-22T16:19:13.040Z,"34 km SW of Manokwari, Indonesia",earthquake,8.86,8.05,0.124,19,reviewed,us,us
2022-10-22T12:50:39.294Z,7.7704,-81.597,11.501,4.5,mb,43,130,1.483,1.01,us,us6000ivrh,2022-10-22T13:07:44.569Z,"27 km SSW of Zapotillo, Panama",earthquake,6.75,6.117,0.086,40,reviewed,us,us
2022-10-22T12:05:56.323Z,46.4381,149.8789,10.6,5,mb,77,71,4.925,0.57,us,us6000ivre,2022-10-22T13:38:09.535Z,"205 km NE of Kuril’sk, Russia",earthquake,8.54,3.622,0.03,359,reviewed,us,us
2022-10-22T09:40:37.892Z,53.427,161.6761,10,4.9,mb,90,105,1.864,0.61,us,us6000ivqu,2022-10-22T10:09:48.040Z,"207 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,7.99,1.861,0.038,213,reviewed,us,us
2022-10-22T07:32:28.010Z,18.2376,-63.7796,131,4.46,md,21,347,1.0632,0.34,pr,pr2022295002,2022-10-22T08:31:03.951Z,"Leeward Islands",earthquake,5.64,2.44,0.13,10,reviewed,pr,pr
2022-10-22T07:13:11.810Z,19.2616,-64.6288,28,3.68,md,11,298,0.9665,0.41,pr,pr2022295001,2022-10-22T08:06:26.477Z,"104 km N of Cruz Bay, U.S. Virgin Islands",earthquake,2.35,25.73,0.05,5,reviewed,pr,pr
2022-10-22T05:17:06.726Z,29.6307,102.0769,38.954,5.3,mww,146,16,8.434,0.78,us,us6000ivq1,2022-10-22T13:36:14.926Z,"",earthquake,8.79,5.814,0.071,19,reviewed,us,us
